dialog_id	en	filename	duration	postpause	speaker_id
	Scenario 1: As Good as Dead				
s1_intro	Every way out was barred or blocked.	s1_intro_00	3	1	death
s1_intro	Enemies positioned themselves outside the windows.	s1_intro_01	3	1	death
s1_intro	You were as good as dead.	s1_intro_02	3	1	death
s1_warrendies	Bleeding out on the floor, helpless to protect Florence, you felt your life ebbing away.	s1_warrendies	3	1	death
s1_florencedies	Florence was dying, her eyes growing glassy as her soul slipped away.	s1_florencedies	3	1	death
s1_death	You gave your last breath.	s1_death	3	1	death
s1_death_fade	But on that breath, you pledged to him.	s1_death_fade_00	3	1	death
s1_death_fade	You gave your soul for a shot at revenge.	s1_death_fade_01	3	1	death
s1_resurrection	Trapped betwixt life and death, you now belonged to neither realm.	s1_resurrection	3	1	death
s1_resurrection_dig	The coffin nails didn't hold fast.	s1_resurrection_dig_00	3	1	death
s1_resurrection_dig	You were supposed to be dead, so no one took notice right away.	s1_resurrection_dig_01	3	1	death
s1_resurrection_optional	You considered raising the alarm to bring in more enemies. Just to satisy your blood lust.	s1_resurrection_optional	3	1	death
s1_t0_reinforcements	You telegraphed the enemy to send more men. You weren't done dispensing justice.	s1_t0_reinforcements	3	1	death
s1_t0_end	Every living soul there was dead. But you? You were just getting started.	s1_t0_end	3	1	death
s1_str_intro	The stranger somehow stopped you halfway to death.	s1_str_intro_00	3	0	death
s1_str_intro	After that fateful night, the news spread quickly.	s1_str_intro_01	3	0	death
s1_str_intro	Masked Man, your nemesis, went into hiding.	s1_str_intro_02	3	0	death
s1_str_thefarm	Old Man Murray was taken to cannibal farm.	s1_str_thefarm_00	5	1	death
s1_str_thefarm	If you could save him, maybe that tough old bird could prove to be useful.	s1_str_thefarm_01	5	1	death
s1_str_thefarm	And even if you failed, you’d still put a dent in the Masked Man's business.	s1_str_thefarm_02	5	1	death
s1_farm_intro	Time was of the essence.	s1_farm_intro_00	5	0	death
s1_farm_intro	Murray was bleeding, and would be served for dinner by sundown.	s1_farm_intro_01	5	1	death
s1_farm_intro	You could either kill the cannibals before he died,	s1_farm_intro_02	5	0	death
s1_farm_intro	or free him and patch him up enough to survive the fight.	s1_farm_intro_03	5	1	death
s1_farm_intro	Also, a part of you was curious what the fuss about human flesh was anyway.	s1_farm_intro_04	5	1	death
s1_farm_murrayreleased	The woodshed smelled of garlic and rosemary.	s1_farm_murrayreleased_00	5	1	death
s1_farm_murrayreleased	“Seasoned gunslinger” just got a whole new meaning.	s1_farm_murrayreleased_01	5	1	death
s1_farm_alldeadmurrayok	Your swiftness would be the tale of the country.	s1_farm_alldeadmurrayok_00	5	1	death
s1_farm_alldeadmurrayok	The cannibals bit the dust,	s1_farm_alldeadmurrayok_01	5	0	death
s1_farm_alldeadmurrayok	and Murray’s knowledge of the Masked Man was yours.	s1_farm_alldeadmurrayok_02	5	1	death
s1_farm_murraybledout	You took too long and Murray bled out.	s1_farm_murraybledout_00	5	1	death
s1_farm_murraybledout	The demise of this place would sweeten the loss however.	s1_farm_murraybledout_01	5	1	death
s1_farm_murrayshot	Just when you thought Murray’s rescue was in the bag--	s1_farm_murrayshot_00	5	0	death
s1_farm_murrayshot	He was shot dead, taking his knowledge to the grave.	s1_farm_murrayshot_01	5	1	death
s1_farm_alldeadmurraytoo	The cannibals bit the dust.	s1_farm_alldeadmurraytoo_00	5	1	death
s1_farm_alldeadmurraytoo	A pity you couldn’t save Murray.	s1_farm_alldeadmurraytoo_01	5	1	death
s1_farm_alldeadmurraytoo	But the Masked Man’s business had been badly damaged.	s1_farm_alldeadmurraytoo_02	5	1	death
s1_farm_alldeadmurraytoo	And in time, you would claim him as well.	s1_farm_alldeadmurraytoo_03	5	1	death
s1_farm_humanflesh	Human flesh tasted a bit like buffalo jerky. Not half bad.	s1_farm_humanflesh_00	5	1	death
s1_farm_humanflesh	Strangely, you felt empowered by this casually heinous act.	s1_farm_humanflesh_01	5	1	death
s1_farm_humanflesh	But no sense letting good meat go to waste.	s1_farm_humanflesh_02	5	1	death
s1_robbery_opening	Deputies were going about their business.	s1_robbery_opening_02	5	1	death
s1_robbery_opening	They weren't expecting you.	s1_robbery_opening_01	5	1	death
s1_robbery_telegraphused	With the device violently dismantled, the demon troop was delayed.	s1_robbery_telegraphused_01	5	1	death
s1_robbery_alarm	Inevitably, the bell rang.	s1_robbery_alarm_01	5	1	death
s1_robbery_alarm	The first note of the signal that would summon the demons has been struck.	s1_robbery_alarm_02	5	1	death
s1_robbery_demonsnextturn	A distant shriek heralded the demons' arrival.	s1_robbery_demonsnextturn_01	5	1	death
s1_robbery_demonarrival	Upon mere sight of the fiends, even the sun averted its gaze.	s1_robbery_demonarrival_01	5	1	death
s1_robbery_meetprisoner	The burly man they call the Childeater greeted you with a nod. He had heard of you.	s1_robbery_meetprisoner_01	5	1	death
s1_robbery_freeprisoner	An honorable man in his own way, he resolved to return the favor.	s1_robbery_freeprisoner_01	5	1	death
s1_robbery_managersubdued	At gunpoint, the bank manager surrendered the safe key.	s1_robbery_managersubdued_01	5	1	death
s1_robbery_safeused	Your pockets brimming with wealth, you set out to leave.	s1_robbery_safeused_01	5	1	death
s1_robbery_success	With all adversaries dead at your feet, you left.	s1_robbery_success_01	5	1	death
s1_t4_opening	This was the place where the demon and his troop were residing.	s1_t4_opening	5	1	death
s1_t4_demonpower	The demon was potent in the art of unholy power.	s1_t4_demonpower	5	1	death
s1_t4_killdemon	The demon was now dead, his soul headed to... who knows where.	s1_t4_killdemon	5	1	death
s1_t4_end	With the demon and his henchwomen eliminated, you could now help yourself to their treasure.	s1_t4_end	5	1	death
s1_fearlevel2	You began to make quite a name for yourself.	s1_fearlevel2	5	1	death
s1_fearlevel3	Eventually, people fled in abject fear, simply upon hearing your name.	s1_fearlevel3	5	1	death
s1_hideoutrevealed	Finally, you heard where the Masked Man was hiding.	s1_hideoutrevealed_00	5	1	death
s1_hideoutrevealed	Clearly, it was a trap.	s1_hideoutrevealed_01	5	1	death
s1_hideoutrevealed	Clearly, you didn't care.	s1_hideoutrevealed_02	5	1	death
s1_t5_opening	There were some armed oil workers on your way, but your eyes kept scouting for the Masked Man.	s1_t5_opening	5	1	death
s1_t5_killworkers	The doors of the house flew open. The Masked Man’s best gun hands showed up.	s1_t5_killworkers	5	1	death
s1_t5_killguards	Finally, Masked Man appeared. As good as dead.	s1_t5_killguards	5	1	death
s1_t5_killvasquez	In the end, the man who sported the mask, now sported a big bloody hole in his forehead instead.	s1_t5_killvasquez	5	1	death
s1_t5_end	That's when you heard the familiar voice in your ear:	s1_t5_end_00	5	1	death
s1_t5_end	It wasn’t over yet. Florence’s soul wasn’t yet gone.	s1_t5_end_01	5	1	death
s1_t5_end	She was trapped in Purgatory and could still be saved.	s1_t5_end_02	5	1	death
	Scenario 2: Law & Order				
s2_hideout_start	Grand Inquisitor Cervantes and his trusted Lieutenant, Joaquim Perez, saw the armed guards and knew this was no simple farm.	s2_hideout_start_00	5	1	death
s2_hideout_start	This clearly was the location of Solomon DeLear's stronghold.	s2_hideout_start_01	5	1	death
s2_hideout_stealth_lost	The guards grew suspicious of the two strangers.	s2_hideout_stealth_lost_00	5	1	death
s2_hideout_stealth_lost	And without warning, they opened fire.	s2_hideout_stealth_lost_01	5	1	death
s2_hideout_solomon_found	A commotion could be heard coming from the shed.	s2_hideout_solomon_found_00	5	1	death
s2_hideout_solomon_found	Most likely it was Solomon and his guards lying in wait, hoping to catch the intruders by surprise.	s2_hideout_solomon_found_01	5	1	death
s2_hideout_solomon_found	It was then that the Inquisitor saw the curious wires leading into the barn.	s2_hideout_solomon_found_02	5	1	death
s2_hideout_locked_door	Solomon had locked himself inside. A key would be needed.	s2_hideout_locked_door	5	1	death
s2_hideout_chest_opened	A key was located. It likely fit the lock on Solomon’s shed.	s2_hideout_chest_opened	5	1	death
s2_hideout_safe_opened	In their haste to flee, someone had left the safe open.	s2_hideout_safe_opened_00	5	1	death
s2_hideout_safe_opened	Though nearly empty, Cervantes took what was left.	s2_hideout_safe_opened_01	5	1	death
s2_hideout_safe_opened	Every little bit would help to finance his “noble” cause.	s2_hideout_safe_opened_02	5	1	death
s2_hideout_lever_used	The power unleashed from those charged coils electrocuted everyone in the shed.	s2_hideout_lever_used_00	5	1	death
s2_hideout_lever_used	The blast from that burst of energy blew the doors wide open.	s2_hideout_lever_used_01	5	1	death
s2_hideout_delear_dead	DeLear was dead. His demise seemed almost too easy.	s2_hideout_delear_dead	5	1	death
